,customer_id,count_x,vendor_x,vendor_y,count_y,Pop_v
33,01L565T,1,33,33,1,33
34,01LC14G,1,78,78,1,78
35,01PXZKF,1,145,145,1,145
36,01QRJWD,4,"401, 401, 401, 110","401, 110",2,401
37,01RMLT7,14,"289, 105, 157, 105, 105, 105, 86, 90, 537, 289, 237, 105, 356, 84","289, 105, 157, 86, 90, 537, 237, 356, 84",9,105
38,01SYH2W,1,191,191,1,191
39,01UF9UR,2,"386, 113","386, 113",2,"386,113"
40,01WXG2E,1,28,28,1,28
41,01XQ398,2,"271, 271",271,1,271
42,020NUVD,1,271,271,1,271
43,022H66T,1,845,845,1,845
44,024JJVJ,3,"157, 157, 157",157,1,157
45,026DLQY,6,"201, 85, 201, 110, 201, 85","201, 85, 110",3,201
46,0282DXQ,5,"13, 188, 298, 298, 298","13, 188, 298",3,298
47,028L9YA,1,201,201,1,201
48,029XH91,1,191,191,1,191
49,02BFXNO,2,"83, 105","83, 105",2,"83,105"
50,02C0DWD,2,"115, 191","115, 191",2,"115,191"
51,02C5VSM,1,192,192,1,192
52,02CJVDG,2,"856, 679","856, 679",2,"856,679"
53,02EVEAZ,2,"113, 843","113, 843",2,"113,843"
54,02G76GA,3,"294, 84, 84","294, 84",2,84
55,02HI6HS,1,578,578,1,578
56,02I3W4Y,2,"288, 288",288,1,288
57,02LQ6XD,2,"75, 195","75, 195",2,"75,195"
58,02MCCTV,2,"537, 537",537,1,537
59,02Q9OLI,2,"83, 231","83, 231",2,"83,231"
60,02QYVDI,1,274,274,1,274
61,02REA7X,16,"44, 43, 85, 105, 105, 86, 105, 105, 105, 386, 105, 386, 289, 299, 299, 386","44, 43, 85, 105, 86, 386, 289, 299",8,105
62,02SFNJH,4,"199, 159, 855, 192","199, 159, 855, 192",4,"199,159,855,192"
63,02SQ94N,4,"259, 310, 310, 310","259, 310",2,310
64,02Y4HXJ,26,"67, 148, 148, 148, 148, 148, 148, 148, 148, 148, 148, 148, 148, 148, 148, 148, 148, 148, 148, 148, 28, 148, 148, 578, 148, 148","67, 148, 28, 578",4,148
65,030RSXK,5,"289, 85, 105, 105, 105","289, 85, 105",3,105
66,032TAZ0,7,"90, 304, 225, 225, 225, 225, 86","90, 304, 225, 86",4,225
67,0359WBJ,5,"113, 113, 191, 113, 113","113, 191",2,113
68,036OYRE,1,145,145,1,145
69,037HIN2,1,180,180,1,180
70,037UFQH,5,"78, 78, 78, 78, 78",78,1,78
71,03A5JNU,2,"231, 193","231, 193",2,"231,193"
72,03AADDM,3,"193, 386, 386","193, 386",2,386
73,03E01HL,14,"113, 113, 113, 113, 288, 78, 160, 575, 84, 398, 160, 148, 148, 160","113, 288, 78, 160, 575, 84, 398, 148",8,113
74,03FKIZR,14,"43, 90, 391, 386, 44, 105, 44, 148, 44, 148, 148, 148, 148, 148","43, 90, 391, 386, 44, 105, 148",7,148
75,03GI2UX,2,"157, 157",157,1,157
76,03HMY4W,4,"20, 20, 75, 33","20, 75, 33",3,20
77,03I0IGC,1,83,83,1,83
78,03K46LZ,1,84,84,1,84
79,03KC7Q8,2,"86, 84","86, 84",2,"86,84"
80,03LN6SP,2,"79, 105","79, 105",2,"79,105"
81,03MYN9R,3,"85, 154, 44","85, 154, 44",3,"85,154,44"
82,03O25YX,3,"459, 459, 105","459, 105",2,459
83,03OEKF1,1,398,398,1,398
84,03OQ7QU,1,76,76,1,76
85,03P9BDX,1,83,83,1,83
86,03QG113,2,"161, 161",161,1,161
87,03VOLT2,1,83,83,1,83
88,03WD28H,1,84,84,1,84
89,03XLD1E,1,83,83,1,83
90,0403E0I,7,"192, 134, 134, 20, 81, 134, 188","192, 134, 20, 81, 188",5,134
91,042XOSW,3,"113, 113, 113",113,1,113
92,043OOAD,2,"583, 843","583, 843",2,"583,843"
93,045FUZC,20,"4, 4, 274, 82, 4, 4, 4, 55, 82, 4, 583, 4, 82, 4, 4, 4, 20, 4, 4, 4","4, 274, 82, 55, 583, 20",6,4
94,046EKTU,1,386,386,1,386
95,046FK0C,3,"92, 203, 271","92, 203, 271",3,"92,203,271"
96,047LNHS,1,90,90,1,90
97,0480B40,2,"573, 573",573,1,573
98,049BJCO,4,"159, 221, 113, 159","159, 221, 113",3,159
99,04AMI62,1,79,79,1,79
100,04AWPBE,10,"193, 83, 85, 83, 84, 84, 84, 398, 398, 849","193, 83, 85, 84, 398, 849",6,84
101,04B8UUG,1,573,573,1,573
102,04EZNQE,1,189,189,1,189
103,04HS503,1,288,288,1,288
104,04LF0UN,1,79,79,1,79
105,04M5T56,4,"216, 23, 104, 176","216, 23, 104, 176",4,"216,23,104,176"
106,04O83N3,27,"294, 391, 289, 289, 289, 195, 419, 105, 289, 419, 304, 105, 105, 105, 105, 105, 105, 105, 225, 105, 419, 105, 160, 105, 846, 105, 105","294, 391, 289, 195, 419, 105, 304, 225, 160, 846",10,105
107,04ODHKK,1,199,199,1,199
108,04SMM6S,1,386,386,1,386
109,04TSSTV,6,"55, 66, 66, 66, 84, 191","55, 66, 84, 191",4,66
110,04VARUV,1,356,356,1,356
111,04VLVWQ,3,"4, 180, 134","4, 180, 134",3,"4,180,134"
112,04VYBRM,2,"86, 86",86,1,86
113,051A06M,2,"356, 356",356,1,356
114,054Y8DR,2,"75, 288","75, 288",2,"75,288"
115,055MN2K,4,"23, 23, 79, 20","23, 79, 20",3,23
116,057OGLT,1,843,843,1,843
117,05GXQ8K,6,"110, 298, 82, 298, 310, 110","110, 298, 82, 310",4,"110,298"
118,05JFHEP,1,20,20,1,20
119,05JRQK1,1,841,841,1,841
120,05LJNFC,1,856,856,1,856
121,05LL4LB,3,"189, 189, 189",189,1,189
122,05PQFON,1,28,28,1,28
123,05QSOVV,5,"85, 83, 84, 84, 84","85, 83, 84",3,84
124,05R3BKO,4,"237, 356, 90, 356","237, 356, 90",3,356
125,05U3JC7,1,189,189,1,189
126,05UGY71,1,161,161,1,161
127,05XZS3F,2,"79, 79",79,1,79
128,05ZLG31,1,113,113,1,113
129,061WI5J,2,"197, 299","197, 299",2,"197,299"
130,062LSV7,9,"85, 84, 188, 84, 84, 681, 216, 681, 84","85, 84, 188, 681, 216",5,84
131,062ZGPJ,1,577,577,1,577
132,0660QP7,5,"300, 78, 81, 250, 104","300, 78, 81, 250, 104",5,"300,78,81,250,104"
133,066NSPH,3,"575, 386, 225","575, 386, 225",3,"575,386,225"
134,067B5UK,2,"159, 159",159,1,159
135,067ZTKD,10,"303, 92, 303, 303, 303, 274, 303, 92, 92, 159","303, 92, 274, 159",4,303
136,06AJCQD,9,"288, 113, 157, 113, 79, 679, 157, 856, 113","288, 113, 157, 79, 679, 856",6,113
137,06E9VIK,4,"265, 78, 75, 679","265, 78, 75, 679",4,"265,78,75,679"
138,06F9LTV,1,195,195,1,195
139,06GXGSC,11,"106, 106, 106, 106, 106, 106, 106, 106, 106, 106, 106",106,1,106
140,06HKPQX,7,"106, 113, 113, 582, 104, 79, 79","106, 113, 582, 104, 79",5,"113,79"
141,06IFYTY,1,157,157,1,157
142,06KCWZW,7,"75, 86, 391, 391, 391, 391, 676","75, 86, 391, 676",4,391
143,06LMVC5,1,845,845,1,845
144,06N72EV,3,"203, 113, 203","203, 113",2,203
145,06Q258W,1,386,386,1,386
146,06QH4V1,1,846,846,1,846
147,06SG2EQ,18,"4, 300, 159, 159, 300, 195, 300, 159, 159, 221, 300, 295, 216, 159, 216, 216, 216, 216","4, 300, 159, 195, 221, 295, 216",7,"159,216"
148,06V4ZR4,8,"288, 573, 573, 573, 573, 199, 199, 192","288, 573, 199, 192",4,573
149,06W4Q9Z,1,79,79,1,79
150,06XISPH,3,"79, 303, 90","79, 303, 90",3,"79,303,90"
151,06XJCUO,1,86,86,1,86
152,07294KB,1,907,907,1,907
153,072LAHO,9,"83, 83, 304, 191, 84, 84, 44, 84, 843","83, 304, 191, 84, 44, 843",6,84
154,0756XNS,3,"83, 84, 84","83, 84",2,84
155,075MP8R,7,"113, 113, 149, 113, 78, 78, 113","113, 149, 78",3,113
156,0772ZHJ,1,33,33,1,33
157,0787A3K,1,84,84,1,84
158,078QLD4,2,"391, 386","391, 386",2,"391,386"
159,079I4NF,1,265,265,1,265
160,07CCW9F,4,"243, 83, 577, 386","243, 83, 577, 386",4,"243,83,577,386"
161,07CO9SV,1,55,55,1,55
162,07DO4CM,2,"161, 203","161, 203",2,"161,203"
163,07DYES0,5,"300, 180, 28, 191, 43","300, 180, 28, 191, 43",5,"300,180,28,191,43"
164,07DZ7A4,16,"134, 110, 92, 33, 110, 189, 33, 265, 33, 110, 288, 110, 110, 288, 271, 197","134, 110, 92, 33, 189, 265, 288, 271, 197",9,110
165,07F37MR,4,"44, 356, 90, 843","44, 356, 90, 843",4,"44,356,90,843"
166,07FE2FT,4,"225, 459, 575, 299","225, 459, 575, 299",4,"225,459,575,299"
167,07G9OMN,1,289,289,1,289
168,07OUDRP,2,"134, 577","134, 577",2,"134,577"
169,07PB2W3,1,28,28,1,28
170,07PMAMN,2,"289, 105","289, 105",2,"289,105"
171,07SK0NA,5,"106, 78, 79, 79, 79","106, 78, 79",3,79
172,07YFAFL,1,858,858,1,858
173,081WCH3,2,"845, 845",845,1,845
174,082C92S,1,106,106,1,106
175,084CLP4,1,192,192,1,192
176,085PW1K,1,537,537,1,537
177,086HGJH,1,849,849,1,849
178,086S0XK,16,"20, 113, 113, 92, 113, 23, 76, 20, 81, 149, 401, 401, 13, 401, 188, 92","20, 113, 92, 23, 76, 81, 149, 401, 13, 188",10,"113,401"
179,087NN6I,3,"85, 845, 845","85, 845",2,845
180,0880R2V,1,907,907,1,907
181,088BPLC,28,"85, 243, 83, 148, 85, 83, 86, 105, 86, 86, 105, 148, 105, 86, 105, 148, 105, 148, 105, 148, 105, 105, 86, 105, 846, 148, 105, 86","85, 243, 83, 148, 86, 105, 846",7,105
182,088J47N,2,"386, 86","386, 86",2,"386,86"
183,089OGP9,1,188,188,1,188
184,08AEQ10,1,84,84,1,84
185,08BB1CN,1,148,148,1,148
186,08DDKQF,2,"391, 391",391,1,391
187,08ES9KZ,1,299,299,1,299
188,08F2YRP,17,"113, 303, 303, 33, 303, 195, 134, 310, 33, 176, 298, 110, 110, 67, 67, 259, 67","113, 303, 33, 195, 134, 310, 176, 298, 110, 67, 259",11,"303,67"
189,08PA3QO,3,"386, 846, 386","386, 846",2,386
190,08PL9NF,1,113,113,1,113
191,08PSNX7,4,"105, 84, 105, 86","105, 84, 86",3,105
192,08TXX9T,3,"83, 197, 583","83, 197, 583",3,"83,197,583"
193,08Y6DYQ,1,547,547,1,547
194,08ZDT10,4,"199, 391, 537, 537","199, 391, 537",3,537
195,0903VHK,1,265,265,1,265
196,090HRC5,11,"300, 300, 300, 300, 295, 295, 295, 295, 295, 295, 295","300, 295",2,295
197,092N1TK,1,105,105,1,105
198,098AGWK,1,243,243,1,243
199,099123Y,1,547,547,1,547
200,09A31JX,1,78,78,1,78
201,09AMMCI,1,148,148,1,148
202,09C1RHB,2,"294, 231","294, 231",2,"294,231"
203,09IGF4L,1,265,265,1,265
204,09K01P3,5,"386, 386, 386, 386, 386",386,1,386
205,09M8OKR,4,"33, 134, 79, 401","33, 134, 79, 401",4,"33,134,79,401"
206,09N4LLE,1,85,85,1,85
207,09NXGRH,5,"81, 846, 846, 846, 846","81, 846",2,846
208,09ON7ER,5,"4, 176, 92, 288, 92","4, 176, 92, 288",4,92
209,09PW8ST,2,"195, 189","195, 189",2,"195,189"
210,09Q8XMF,3,"295, 76, 76","295, 76",2,76
211,09UK6D9,2,"849, 849",849,1,849
212,09UOV4M,14,"225, 189, 189, 78, 78, 28, 110, 110, 310, 79, 134, 310, 106, 79","225, 189, 78, 28, 110, 310, 79, 134, 106",9,"189,78,110,310,79"
213,09WIVKI,9,"145, 83, 83, 83, 225, 386, 84, 84, 84","145, 83, 225, 386, 84",5,"83,84"
214,09X9ZSY,3,"4, 33, 180","4, 33, 180",3,"4,33,180"
215,09XR9GG,4,"547, 20, 4, 20","547, 20, 4",3,20
216,09Z9QF9,8,"83, 85, 231, 243, 231, 86, 86, 86","83, 85, 231, 243, 86",5,86
217,0A0K6JL,22,"83, 84, 84, 207, 195, 207, 195, 195, 207, 195, 84, 105, 207, 195, 207, 84, 207, 145, 207, 207, 195, 537","83, 84, 207, 195, 105, 145, 537",7,207
218,0A41QYP,4,"78, 419, 856, 679","78, 419, 856, 679",4,"78,419,856,679"
219,0A7B4ZD,1,106,106,1,106
220,0AAO8TP,1,846,846,1,846
221,0AE8QGM,2,"195, 79","195, 79",2,"195,79"
222,0AH7UA9,2,"237, 849","237, 849",2,"237,849"
223,0AHQ3ZG,3,"676, 676, 855","676, 855",2,676
224,0AL7H0L,7,"85, 148, 148, 148, 846, 148, 201","85, 148, 846, 201",4,148
225,0ANQV35,2,"203, 401","203, 401",2,"203,401"
226,0ARG139,1,573,573,1,573
227,0AS3T3Q,1,84,84,1,84
228,0ASF917,5,"78, 78, 78, 79, 79","78, 79",2,78
229,0AULQ4Y,3,"193, 849, 86","193, 849, 86",3,"193,849,86"
230,0AXTVXU,3,"85, 84, 846","85, 84, 846",3,"85,84,846"
231,0B071OX,7,"86, 86, 577, 86, 86, 86, 577","86, 577",2,86
232,0B0FBZX,4,"203, 856, 578, 856","203, 856, 578",3,856
233,0B23SVJ,1,583,583,1,583
234,0B3QNQ5,57,"105, 289, 83, 289, 105, 289, 83, 105, 105, 83, 289, 83, 231, 83, 459, 386, 459, 459, 459, 84, 105, 459, 386, 459, 161, 386, 84, 44, 84, 44, 459, 105, 537, 537, 459, 459, 537, 84, 386, 84, 84, 459, 537, 225, 225, 459, 84, 459, 386, 386, 84, 84, 459, 459, 459, 154, 84","105, 289, 83, 231, 459, 386, 84, 161, 44, 537, 225, 154",12,459
235,0B40SC6,2,"83, 193","83, 193",2,"83,193"
236,0B7680O,2,"578, 856","578, 856",2,"578,856"
237,0BBHKHM,3,"189, 189, 195","189, 195",2,189
238,0BFP1CI,1,578,578,1,578
239,0BGWB9P,1,105,105,1,105
240,0BHOJIP,9,"195, 221, 274, 66, 578, 310, 578, 310, 582","195, 221, 274, 66, 578, 310, 582",7,"578,310"
241,0BHQWOQ,1,196,196,1,196
242,0BITNUZ,28,"83, 243, 90, 85, 83, 105, 419, 90, 105, 86, 105, 90, 356, 356, 84, 459, 225, 386, 84, 356, 846, 575, 356, 356, 154, 154, 84, 356","83, 243, 90, 85, 105, 419, 86, 356, 84, 459, 225, 386, 846, 575, 154",15,356
243,0BJCRNV,1,84,84,1,84
244,0BKG3DH,15,"134, 192, 134, 134, 134, 134, 134, 78, 134, 288, 189, 79, 188, 134, 134","134, 192, 78, 288, 189, 79, 188",7,134
245,0BM5OJ6,3,"28, 582, 28","28, 582",2,28
246,0BN9G4T,1,83,83,1,83
247,0BNFTAB,1,356,356,1,356
248,0BO68T2,3,"78, 195, 104","78, 195, 104",3,"78,195,104"
249,0BPIFTG,1,582,582,1,582
250,0BTFIDS,1,83,83,1,83
251,0BTJE4G,14,"113, 176, 113, 113, 113, 113, 106, 113, 113, 113, 113, 679, 113, 113","113, 176, 106, 679",4,113
252,0BXMCPT,11,"265, 189, 265, 849, 189, 849, 849, 265, 849, 189, 265","265, 189, 849",3,"265,849"
253,0BZ621B,1,76,76,1,76
254,0C078J6,3,"106, 79, 295","106, 79, 295",3,"106,79,295"
255,0C32CU5,15,"288, 288, 259, 288, 265, 288, 145, 83, 259, 250, 310, 106, 84, 106, 106","288, 259, 265, 145, 83, 250, 310, 106, 84",9,288
256,0C3AB62,1,44,44,1,44
257,0C3VH30,12,"55, 104, 841, 841, 841, 841, 841, 841, 841, 841, 841, 841","55, 104, 841",3,841
258,0C7AQRE,1,856,856,1,856
259,0C9TR4E,2,"161, 161",161,1,161
260,0C9WP58,2,"855, 855",855,1,855
261,0CCBJC2,1,846,846,1,846
262,0CHV11Z,6,"113, 113, 113, 113, 113, 578","113, 578",2,113
263,0CIQ3AL,1,113,113,1,113
264,0CKSEHE,1,259,259,1,259
265,0CLSXU2,1,154,154,1,154
266,0CPXPLF,12,"92, 92, 92, 92, 188, 310, 188, 82, 92, 288, 92, 201","92, 188, 310, 82, 288, 201",6,92
267,0CSCAH6,2,"846, 846",846,1,846
268,0CVNXZN,4,"310, 310, 841, 310","310, 841",2,310
269,0CWS0C3,7,"33, 33, 104, 110, 104, 110, 858","33, 104, 110, 858",4,"33,104,110"
270,0D18F5T,1,28,28,1,28
271,0D2MTX1,1,578,578,1,578
272,0D3N7RS,16,"192, 134, 20, 104, 159, 159, 104, 92, 92, 104, 310, 159, 271, 134, 92, 33","192, 134, 20, 104, 159, 92, 310, 271, 33",9,"104,159,92"
273,0D5BCBK,1,299,299,1,299
274,0D9JLPA,4,"83, 83, 583, 113","83, 583, 113",3,83
275,0DAKWP8,1,391,391,1,391
276,0DC0XAI,1,189,189,1,189
277,0DDLFSF,2,"578, 79","578, 79",2,"578,79"
278,0DI3YFO,1,83,83,1,83
279,0DK0V5Q,2,"55, 55",55,1,55
280,0DKK2IZ,7,"83, 83, 193, 199, 189, 189, 189","83, 193, 199, 189",4,189
281,0DKVTGZ,11,"201, 201, 201, 201, 197, 197, 197, 681, 197, 197, 197","201, 197, 681",3,197
282,0DMNXLG,2,"85, 86","85, 86",2,"85,86"
283,0DN7GLR,3,"856, 401, 856","856, 401",2,856
284,0DO8QY5,1,547,547,1,547
285,0DOGR1P,1,288,288,1,288
286,0DOHXFH,9,"90, 90, 243, 90, 90, 90, 90, 90, 90","90, 243",2,90
287,0DS79SZ,1,201,201,1,201
288,0DSR94W,1,84,84,1,84
289,0DT7TCF,1,43,43,1,43
290,0DV83M4,1,856,856,1,856
291,0DWJJO4,1,84,84,1,84
292,0DYJLOF,7,"243, 243, 243, 90, 83, 90, 189","243, 90, 83, 189",4,243
293,0DZN1C0,1,221,221,1,221
294,0E1OG8B,1,193,193,1,193
295,0E55VUX,1,221,221,1,221
296,0E5WEOJ,13,"192, 192, 265, 110, 106, 192, 192, 259, 192, 110, 259, 265, 259","192, 265, 110, 106, 259",5,192
297,0E648BQ,2,"201, 679","201, 679",2,"201,679"
298,0E919IW,1,161,161,1,161
299,0EARL1F,4,"907, 907, 907, 907",907,1,907
300,0ECDDSB,13,"83, 83, 105, 105, 83, 83, 83, 419, 105, 105, 84, 537, 79","83, 105, 419, 84, 537, 79",6,83
301,0ECUMBT,2,"110, 110",110,1,110
302,0EDFG78,3,"160, 160, 160",160,1,160
303,0EFOYKO,1,55,55,1,55
304,0EFQ9C8,1,189,189,1,189
305,0EFSYC0,5,"66, 106, 106, 66, 259","66, 106, 259",3,"66,106"
306,0EI9952,7,"303, 13, 356, 386, 4, 33, 846","303, 13, 356, 386, 4, 33, 846",7,"303,13,356,386,4,33,846"
307,0EJIU3Y,46,"148, 78, 44, 113, 78, 113, 28, 78, 4, 4, 78, 78, 250, 113, 298, 78, 82, 78, 78, 274, 4, 113, 78, 259, 4, 78, 4, 4, 4, 82, 78, 78, 79, 4, 55, 577, 79, 79, 28, 679, 113, 356, 79, 676, 681, 28","148, 78, 44, 113, 28, 4, 250, 298, 82, 274, 259, 79, 55, 577, 679, 356, 676, 681",18,78
308,0ELL7U0,2,"583, 583",583,1,583
309,0EMG43U,2,"578, 547","578, 547",2,"578,547"
310,0EMPWQW,1,86,86,1,86
311,0ENW8K2,1,231,231,1,231
312,0ENZPXC,2,"189, 105","189, 105",2,"189,105"
313,0EP019J,10,"85, 294, 90, 85, 193, 386, 289, 681, 846, 459","85, 294, 90, 193, 386, 289, 681, 846, 459",9,85
314,0ER4XZ4,1,573,573,1,573
315,0ER64GH,11,"575, 84, 84, 105, 105, 105, 289, 289, 289, 846, 148","575, 84, 105, 289, 846, 148",6,"105,289"
316,0ESSD9Z,1,86,86,1,86
317,0EUY67F,5,"157, 157, 157, 157, 157",157,1,157
318,0EWJ2FB,1,44,44,1,44
319,0EWNTZV,1,582,582,1,582
320,0EY4ZBG,3,"43, 43, 43",43,1,43
321,0F01IOM,4,"193, 193, 154, 86","193, 154, 86",3,193
322,0F049DE,1,398,398,1,398
323,0F0FY09,1,259,259,1,259
324,0F0IE47,1,907,907,1,907
325,0F3AF63,1,157,157,1,157
326,0F3X3SF,5,"23, 23, 188, 188, 188","23, 188",2,188
327,0F3YWPW,17,"81, 298, 4, 4, 159, 23, 23, 78, 33, 33, 33, 221, 92, 75, 75, 113, 92","81, 298, 4, 159, 23, 78, 33, 221, 92, 75, 113",11,33
328,0F5ZCZJ,3,"299, 299, 386","299, 386",2,299
329,0F81JN3,3,"583, 577, 681","583, 577, 681",3,"583,577,681"
330,0F8T49W,1,85,85,1,85
331,0F8TE9V,3,"43, 289, 105","43, 289, 105",3,"43,289,105"
332,0F8YO3R,1,237,237,1,237
333,0FBSANU,8,"176, 176, 192, 192, 192, 192, 191, 82","176, 192, 191, 82",4,192
334,0FGFVJD,16,"195, 195, 195, 195, 195, 195, 195, 195, 191, 191, 191, 191, 191, 191, 191, 191","195, 191",2,"195,191"
335,0FI0NKK,1,78,78,1,78
336,0FNAOSG,3,"676, 679, 679","676, 679",2,679
337,0FNM7FT,1,90,90,1,90
338,0FOCFVI,1,192,192,1,192
339,0FR472Q,4,"78, 28, 78, 78","78, 28",2,78
340,0FTCC49,1,386,386,1,386
341,0FUADMH,6,"78, 78, 78, 78, 78, 856","78, 856",2,78
342,0FWIT1W,8,"159, 81, 192, 159, 81, 159, 159, 33","159, 81, 192, 33",4,159
343,0FXJBR0,26,"83, 90, 83, 145, 83, 106, 106, 145, 90, 83, 83, 83, 90, 84, 289, 105, 237, 105, 84, 537, 537, 289, 289, 160, 84, 84","83, 90, 145, 106, 84, 289, 105, 237, 537, 160",10,83
344,0FYO7WM,2,"386, 547","386, 547",2,"386,547"
345,0FYP7A4,5,"83, 83, 113, 84, 84","83, 113, 84",3,"83,84"
346,0FYZ6FD,1,105,105,1,105
347,0G0RMIV,13,"160, 90, 85, 44, 459, 386, 386, 849, 575, 575, 575, 575, 386","160, 90, 85, 44, 459, 386, 849, 575",8,575
348,0G354BQ,5,"578, 578, 578, 578, 104","578, 104",2,578
349,0G3EYMW,14,"193, 299, 195, 84, 44, 44, 84, 575, 84, 299, 84, 537, 537, 459","193, 299, 195, 84, 44, 575, 537, 459",8,84
350,0G4J6KZ,1,86,86,1,86
351,0G5Q316,4,"43, 289, 145, 356","43, 289, 145, 356",4,"43,289,145,356"
352,0G6BKDW,2,"299, 195","299, 195",2,"299,195"
353,0G8T9ES,4,"304, 846, 846, 846","304, 846",2,846
354,0GA59YJ,3,"148, 148, 148",148,1,148
355,0GCJEBK,3,"113, 79, 113","113, 79",2,113
356,0GG2MD2,1,191,191,1,191
357,0GIN1QD,1,105,105,1,105
358,0GKC78Z,1,157,157,1,157
359,0GKTXC4,12,"196, 203, 196, 196, 192, 192, 192, 192, 192, 192, 192, 192","196, 203, 192",3,192
360,0GNZ58Y,1,84,84,1,84
361,0GPGH86,1,386,386,1,386
362,0GQ7OES,5,"113, 79, 79, 113, 113","113, 79",2,113
363,0GQAWGX,2,"4, 4",4,1,4
364,0GUE0FH,1,459,459,1,459
365,0GW8QX0,17,"110, 110, 4, 221, 221, 221, 4, 110, 110, 4, 4, 4, 110, 110, 110, 75, 110","110, 4, 221, 75",4,110
366,0GWG43Q,3,"86, 386, 575","86, 386, 575",3,"86,386,575"
367,0GWTVXM,1,145,145,1,145
368,0GZGDVI,4,"23, 160, 583, 537","23, 160, 583, 537",4,"23,160,583,537"
369,0H20BYF,6,"110, 195, 191, 259, 295, 295","110, 195, 191, 259, 295",5,295
370,0H2P7W1,15,"391, 85, 85, 386, 459, 386, 386, 537, 386, 386, 105, 86, 386, 105, 386","391, 85, 386, 459, 537, 105, 86",7,386
371,0H2QQYA,6,"221, 196, 191, 573, 79, 192","221, 196, 191, 573, 79, 192",6,"221,196,191,573,79,192"
372,0H2Z21N,12,"113, 113, 113, 113, 856, 856, 856, 856, 856, 856, 856, 856","113, 856",2,856
373,0H48AZC,7,"90, 193, 199, 105, 84, 105, 105","90, 193, 199, 105, 84",5,105
374,0H5HJ4U,5,"157, 4, 28, 149, 157","157, 4, 28, 149",4,157
375,0H5X6WN,1,855,855,1,855
376,0H6INNZ,6,"161, 161, 573, 573, 855, 573","161, 573, 855",3,573
377,0H6ZBES,1,679,679,1,679
378,0H9Y5N6,18,"106, 113, 78, 113, 66, 78, 78, 106, 67, 679, 679, 547, 679, 79, 679, 67, 106, 679","106, 113, 78, 66, 67, 679, 547, 79",8,679
379,0HA648F,2,"231, 83","231, 83",2,"231,83"
380,0HBDXH4,1,858,858,1,858
381,0HCDBI9,1,304,304,1,304
382,0HCVHZ7,2,"75, 858","75, 858",2,"75,858"
383,0HDNF84,7,"78, 75, 106, 79, 113, 858, 858","78, 75, 106, 79, 113, 858",6,858
384,0HDXV8U,4,"113, 106, 578, 106","113, 106, 578",3,106
385,0HEPZP6,1,398,398,1,398
386,0HFD65E,6,"159, 192, 76, 159, 159, 188","159, 192, 76, 188",4,159
387,0HGGXJE,2,"113, 225","113, 225",2,"113,225"
388,0HI3HE5,2,"845, 845",845,1,845
389,0HI5J8P,1,203,203,1,203
390,0HITBVB,14,"85, 4, 391, 356, 391, 188, 681, 4, 681, 419, 391, 201, 76, 841","85, 4, 391, 356, 188, 681, 419, 201, 76, 841",10,391
391,0HIY917,1,33,33,1,33
